2023-12-01 14:52:35,391 INFO    StreamThr :645322 [internal.py:wandb_internal():87] W&B internal server running at pid: 645322, started at: 2023-12-01 14:52:35.389448
2023-12-01 14:52:35,392 DEBUG   HandlerThread:645322 [handler.py:handle_request():144] handle_request: status
2023-12-01 14:52:35,393 INFO    WriterThread:645322 [datastore.py:open_for_write():85] open: /home/sxr280/BERTLocRNA/scripts/../output/RNAlocalization/nucleotidetransformer/wandb/run-20231201_145235-rs9y3jx0/run-rs9y3jx0.wandb
2023-12-01 14:52:35,395 DEBUG   SenderThread:645322 [sender.py:send():336] send: header
2023-12-01 14:52:35,415 DEBUG   SenderThread:645322 [sender.py:send():336] send: run
2023-12-01 14:52:35,871 INFO    SenderThread:645322 [dir_watcher.py:__init__():219] watching files in: /home/sxr280/BERTLocRNA/scripts/../output/RNAlocalization/nucleotidetransformer/wandb/run-20231201_145235-rs9y3jx0/files
2023-12-01 14:52:35,871 INFO    SenderThread:645322 [sender.py:_start_run_threads():1078] run started: rs9y3jx0 with start time 1701438755.38935
2023-12-01 14:52:35,871 DEBUG   SenderThread:645322 [sender.py:send_request():363] send_request: summary_record
2023-12-01 14:52:35,873 DEBUG   HandlerThread:645322 [handler.py:handle_request():144] handle_request: check_version
2023-12-01 14:52:35,874 INFO    SenderThread:645322 [sender.py:_save_file():1332] saving file wandb-summary.json with policy end
2023-12-01 14:52:35,874 DEBUG   SenderThread:645322 [sender.py:send_request():363] send_request: check_version
2023-12-01 14:52:35,952 DEBUG   HandlerThread:645322 [handler.py:handle_request():144] handle_request: run_start
2023-12-01 14:52:35,971 DEBUG   HandlerThread:645322 [system_info.py:__init__():31] System info init
2023-12-01 14:52:35,971 DEBUG   HandlerThread:645322 [system_info.py:__init__():46] System info init done
2023-12-01 14:52:35,971 INFO    HandlerThread:645322 [system_monitor.py:start():183] Starting system monitor
2023-12-01 14:52:35,971 INFO    SystemMonitor:645322 [system_monitor.py:_start():147] Starting system asset monitoring threads
2023-12-01 14:52:35,971 INFO    HandlerThread:645322 [system_monitor.py:probe():204] Collecting system info
2023-12-01 14:52:35,972 INFO    SystemMonitor:645322 [interfaces.py:start():187] Started cpu monitoring
2023-12-01 14:52:35,972 INFO    SystemMonitor:645322 [interfaces.py:start():187] Started disk monitoring
2023-12-01 14:52:35,972 INFO    SystemMonitor:645322 [interfaces.py:start():187] Started gpu monitoring
2023-12-01 14:52:35,974 INFO    SystemMonitor:645322 [interfaces.py:start():187] Started memory monitoring
2023-12-01 14:52:35,974 INFO    SystemMonitor:645322 [interfaces.py:start():187] Started network monitoring
2023-12-01 14:52:35,999 DEBUG   HandlerThread:645322 [system_info.py:probe():195] Probing system
